	LogisticRegression	LinearSVC	MultinomialNB	BernoulliNB	KNeighborsClassifier	RandomForestClassifier
0	1.9369182586669922	3.8467929363250732	0.5678014755249023	0.48877596855163574	1.5133142471313477	3.280730724334717
1	1.4210174083709717	4.20420241355896	0.54768967628479	0.5054612159729004	1.3033342361450195	2.9621074199676514
2	1.5546646118164062	4.060439825057983	0.5537593364715576	0.48381757736206055	1.6590230464935303	3.0219273567199707
3	1.4947404861450195	4.399010896682739	0.4696483612060547	0.4806478023529053	1.1716117858886719	3.119041919708252
4	2.4341626167297363	4.917904376983643	0.48598480224609375	0.5025625228881836	1.126204013824463	3.063830614089966
5	1.6537914276123047	4.202953100204468	0.5366246700286865	0.4851958751678467	1.1550195217132568	3.1759896278381348
6	1.7848000526428223	3.5808303356170654	0.5522370338439941	0.5360672473907471	1.404299020767212	3.012842893600464
7	1.7766880989074707	3.1875417232513428	0.46670055389404297	0.5766193866729736	1.7716600894927979	2.9302845001220703
8	1.953803539276123	3.7416887283325195	0.49280381202697754	0.5279295444488525	1.63266921043396	2.9557816982269287
9	2.018486976623535	3.830238103866577	0.5073580741882324	0.63926100730896	1.324476718902588	2.9289560317993164
