	Base Case	RandomUnderSampler	NearMiss
0	0.7835351089588378	0.5055690072639225	0.17966101694915254
1	0.7854721549636804	0.5230024213075061	0.18159806295399517
2	0.7825665859564165	0.5065375302663438	0.17723970944309925
3	0.7883777239709443	0.47506053268765136	0.17578692493946732
4	0.7811138014527845	0.5486682808716707	0.1811138014527845
5	0.7820823244552059	0.5196125907990314	0.16368038740920096
6	0.785956416464891	0.5138014527845036	0.17239709443099274
7	0.7786924939467311	0.514769975786925	0.17675544794188863
8	0.7825665859564165	0.5288135593220339	0.1665859564164649
9	0.784503631961259	0.5041162227602906	0.17869249394673123
