	LogisticRegression	LinearSVC	MultinomialNB	BernoulliNB	KNeighborsClassifier	RandomForestClassifier
0	0.7849878934624698	0.7602905569007264	0.7835351089588378	0.7772397094430993	0.7569007263922518	0.785956416464891
1	0.7791767554479418	0.7627118644067796	0.7854721549636804	0.7772397094430993	0.7656174334140435	0.774818401937046
2	0.7840193704600485	0.7598062953995158	0.7825665859564165	0.7767554479418887	0.7723970944309927	0.7791767554479418
3	0.785956416464891	0.7554479418886199	0.7883777239709443	0.7767554479418887	0.7699757869249396	0.7864406779661017
4	0.7864406779661017	0.7738498789346246	0.7811138014527845	0.7777239709443098	0.7656174334140435	0.7782082324455206
5	0.7840193704600485	0.7578692493946732	0.7820823244552059	0.7772397094430993	0.7704600484261501	0.7825665859564165
6	0.7830508474576271	0.7709443099273607	0.785956416464891	0.7786924939467311	0.7665859564164649	0.7849878934624698
7	0.7830508474576271	0.7685230024213074	0.7786924939467311	0.7772397094430993	0.7670702179176755	0.7806295399515738
8	0.7864406779661017	0.7685230024213074	0.7825665859564165	0.7782082324455206	0.752542372881356	0.7767554479418887
9	0.7796610169491526	0.7602905569007264	0.784503631961259	0.7777239709443098	0.7646489104116223	0.7830508474576271
